"","ORDER","FAMILY","SPECIES","DR100"
"1","ANURA","Allophrynidae","Allophryne relicta",0.01817921
"2","ANURA","Allophrynidae","Allophryne resplendens",0.031906636
"3","ANURA","Allophrynidae","Allophryne ruthveni",0.032038339
"4","ANURA","Alsodidae","Alsodes australis",0.151984338
"5","ANURA","Alsodidae","Alsodes barrioi",0.180041772
"6","ANURA","Alsodidae","Alsodes coppingeri",0.104949638
"7","ANURA","Alsodidae","Alsodes gargola",0.210426937
"8","ANURA","Alsodidae","Alsodes hugoi",0.06908595
"9","ANURA","Alsodidae","Alsodes igneus",0.120996422
"10","ANURA","Alsodidae","Alsodes kaweshkari",0.208784453
"11","ANURA","Alsodidae","Alsodes montanus",0.181504466
"12","ANURA","Alsodidae","Alsodes monticola",0.173322279
"13","ANURA","Alsodidae","Alsodes neuquensis",0.204292843
"14","ANURA","Alsodidae","Alsodes nodosus",0.060127234
"15","ANURA","Alsodidae","Alsodes norae",0.160834627
"16","ANURA","Alsodidae","Alsodes pehuenche",0.181761909
"17","ANURA","Alsodidae","Alsodes tumultuosus",0.08509993
"18","ANURA","Alsodidae","Alsodes valdiviensis",0.166414907
"19","ANURA","Alsodidae","Alsodes vanzolinii",0.078210915
"20","ANURA","Alsodidae","Alsodes verrucosus",0.168552433
"21","ANURA","Alsodidae","Alsodes vittatus",0.185484968
"22","ANURA","Alsodidae","Eupsophus altor",0.127884965
"23","ANURA","Alsodidae","Eupsophus calcaratus",0.042391903
"24","ANURA","Alsodidae","Eupsophus contulmoensis",0.148929008
"25","ANURA","Alsodidae","Eupsophus emiliopugini",0.053404212
"26","ANURA","Alsodidae","Eupsophus insularis",0.083041614
"27","ANURA","Alsodidae","Eupsophus migueli",0.127618014
"28","ANURA","Alsodidae","Eupsophus nahuelbutensis",0.148947067
"29","ANURA","Alsodidae","Eupsophus roseus",0.140013827
"30","ANURA","Alsodidae","Eupsophus septentrionalis",0.141884527
"31","ANURA","Alsodidae","Eupsophus vertebralis",0.053640274
"32","ANURA","Alsodidae","Limnomedusa macroglossa",0.015954495
"33","ANURA","Alytidae","Alytes cisternasii",0.010644731
"34","ANURA","Alytidae","Alytes dickhilleni",0.046555001
"35","ANURA","Alytidae","Alytes maurus",0.028941419
"36","ANURA","Alytidae","Alytes muletensis",0.046967542
"37","ANURA","Alytidae","Alytes obstetricans",0.018062401
"38","ANURA","Alytidae","Discoglossus galganoi",0.023565341
"39","ANURA","Alytidae","Discoglossus montalentii",0.01559809
"40","ANURA","Alytidae","Discoglossus pictus",0.054030297
"41","ANURA","Alytidae","Discoglossus sardus",0.053902734
"42","ANURA","Alytidae","Discoglossus scovazzi",0.034865104
"43","ANURA","Alytidae","Latonia nigriventer",0.01011196
"44","CAUDATA","Ambystomatidae","Ambystoma altamirani",0.129587716
"45","CAUDATA","Ambystomatidae","Ambystoma amblycephalum",0.072552048
"46","CAUDATA","Ambystomatidae","Ambystoma andersoni",0.092964521
"47","CAUDATA","Ambystomatidae","Ambystoma annulatum",0.045554881
"48","CAUDATA","Ambystomatidae","Ambystoma barbouri",0.117793794
"49","CAUDATA","Ambystomatidae","Ambystoma bishopi",0.049713649
"50","CAUDATA","Ambystomatidae","Ambystoma bombypellum",0.101679517
"51","CAUDATA","Ambystomatidae","Ambystoma californiense",0.062554457
"52","CAUDATA","Ambystomatidae","Ambystoma cingulatum",0.055613123
"53","CAUDATA","Ambystomatidae","Ambystoma dumerilii",0.133547132
"54","CAUDATA","Ambystomatidae","Ambystoma flavipiperatum",0.114753288
"55","CAUDATA","Ambystomatidae","Ambystoma gracile",0.034381538
"56","CAUDATA","Ambystomatidae","Ambystoma granulosum",0.122313471
"57","CAUDATA","Ambystomatidae","Ambystoma jeffersonianum",0.090070489
"58","CAUDATA","Ambystomatidae","Ambystoma laterale",0.064839494
"59","CAUDATA","Ambystomatidae","Ambystoma leorae",0.030397004
"60","CAUDATA","Ambystomatidae","Ambystoma lermaense",0.072868058
"61","CAUDATA","Ambystomatidae","Ambystoma mabeei",0.109177144
"62","CAUDATA","Ambystomatidae","Ambystoma macrodactylum",0.096535448
"63","CAUDATA","Ambystomatidae","Ambystoma maculatum",0.057071185
"64","CAUDATA","Ambystomatidae","Ambystoma mavortium",0.041305036
"65","CAUDATA","Ambystomatidae","Ambystoma mexicanum",0.106255355
"66","CAUDATA","Ambystomatidae","Ambystoma opacum",0.065399326
"67","CAUDATA","Ambystomatidae","Ambystoma ordinarium",0.127720541
"68","CAUDATA","Ambystomatidae","Ambystoma rivulare",0.037161533
"69","CAUDATA","Ambystomatidae","Ambystoma rosaceum",0.085098642
"70","CAUDATA","Ambystomatidae","Ambystoma silvense",0.029287242
"71","CAUDATA","Ambystomatidae","Ambystoma talpoideum",0.017835196
"72","CAUDATA","Ambystomatidae","Ambystoma taylori",0.018587469
"73","CAUDATA","Ambystomatidae","Ambystoma texanum",0.117817004
"74","CAUDATA","Ambystomatidae","Ambystoma tigrinum",0.081984706
"75","CAUDATA","Ambystomatidae","Ambystoma velasci",0.047958907
"76","CAUDATA","Ambystomatidae","Dicamptodon aterrimus",0.045331758
"77","CAUDATA","Ambystomatidae","Dicamptodon copei",0.045354239
"78","CAUDATA","Ambystomatidae","Dicamptodon ensatus",0.025241363
"79","CAUDATA","Ambystomatidae","Dicamptodon tenebrosus",0.013728671
"80","CAUDATA","Amphiumidae","Amphiuma means",0.021575511
"81","CAUDATA","Amphiumidae","Amphiuma pholeter",0.021489094
"82","CAUDATA","Amphiumidae","Amphiuma tridactylum",0.012684544
"83","ANURA","Aromobatidae","Allobates alessandroi",0.047305697
"84","ANURA","Aromobatidae","Allobates algorei",0.047448169
"85","ANURA","Aromobatidae","Allobates amissibilis",0.035176437
"86","ANURA","Aromobatidae","Allobates bromelicola",0.050526091
"87","ANURA","Aromobatidae","Allobates brunneus",0.035109227
"88","ANURA","Aromobatidae","Allobates caeruleodactylus",0.045957913
"89","ANURA","Aromobatidae","Allobates caribe",0.046200257
"90","ANURA","Aromobatidae","Allobates cepedai",0.049405995
"91","ANURA","Aromobatidae","Allobates chalcopis",0.054438214
"92","ANURA","Aromobatidae","Allobates conspicuus",0.048115715
"93","ANURA","Aromobatidae","Allobates crombiei",0.029782989
"94","ANURA","Aromobatidae","Allobates femoralis",0.043234003
"95","ANURA","Aromobatidae","Allobates flaviventris",0.052141869
"96","ANURA","Aromobatidae","Allobates fratisenescus",0.027577232
"97","ANURA","Aromobatidae","Allobates fuscellus",0.040934091
"98","ANURA","Aromobatidae","Allobates gasconi",0.050540074
"99","ANURA","Aromobatidae","Allobates goianus",0.040091725
"100","ANURA","Aromobatidae","Allobates granti",0.048662804
"101","ANURA","Aromobatidae","Allobates grillisimilis",0.046784125
"102","ANURA","Aromobatidae","Allobates hodli",0.040287897
"103","ANURA","Aromobatidae","Allobates humilis",0.047489349
"104","ANURA","Aromobatidae","Allobates ignotus",0.030461147
"105","ANURA","Aromobatidae","Allobates insperatus",0.045403864
"106","ANURA","Aromobatidae","Allobates juanii",0.04297341
"107","ANURA","Aromobatidae","Allobates kingsburyi",0.040570454
"108","ANURA","Aromobatidae","Allobates mandelorum",0.045446579
"109","ANURA","Aromobatidae","Allobates marchesianus",0.050038111
"110","ANURA","Aromobatidae","Allobates masniger",0.035868078
"111","ANURA","Aromobatidae","Allobates mcdiarmidi",0.052690888
"112","ANURA","Aromobatidae","Allobates melanolaemus",0.023469437
"113","ANURA","Aromobatidae","Allobates myersi",0.0346944
"114","ANURA","Aromobatidae","Allobates nidicola",0.040888449
"115","ANURA","Aromobatidae","Allobates niputidea",0.054366002
"116","ANURA","Aromobatidae","Allobates olfersioides",0.04894341
"117","ANURA","Aromobatidae","Allobates ornatus",0.04884568
"118","ANURA","Aromobatidae","Allobates paleovarzensis",0.057581796
"119","ANURA","Aromobatidae","Allobates peruvianus",0.035168425
"120","ANURA","Aromobatidae","Allobates picachos",0.054884877
"121","ANURA","Aromobatidae","Allobates pittieri",0.055872092
"122","ANURA","Aromobatidae","Allobates sanmartini",0.042239567
"123","ANURA","Aromobatidae","Allobates subfolionidificans",0.047941337
"124","ANURA","Aromobatidae","Allobates sumtuosus",0.050897862
"125","ANURA","Aromobatidae","Allobates talamancae",0.025616269
"126","ANURA","Aromobatidae","Allobates trilineatus",0.054050673
"127","ANURA","Aromobatidae","Allobates undulatus",0.024307415
"128","ANURA","Aromobatidae","Allobates vanzolinius",0.050225893
"129","ANURA","Aromobatidae","Allobates wayuu",0.051755745
"130","ANURA","Aromobatidae","Allobates zaparo",0.039185737
"131","ANURA","Aromobatidae","Ectopoglossus astralogaster",0.037762879
"132","ANURA","Aromobatidae","Ectopoglossus atopoglossus",0.06314693
"133","ANURA","Aromobatidae","Anomaloglossus ayarzaguenai",0.06226132
"134","ANURA","Aromobatidae","Anomaloglossus baeobatrachus",0.063511094
"135","ANURA","Aromobatidae","Anomaloglossus beebei",0.051961538
"136","ANURA","Aromobatidae","Anomaloglossus breweri",0.065133347
"137","ANURA","Aromobatidae","Ectopoglossus confusus",0.062109797
"138","ANURA","Aromobatidae","Anomaloglossus degranvillei",0.061670706
"139","ANURA","Aromobatidae","Anomaloglossus guanayensis",0.062410355
"140","ANURA","Aromobatidae","Ectopoglossus isthminus",0.05535042
"141","ANURA","Aromobatidae","Anomaloglossus kaiei",0.063145085
"142","ANURA","Aromobatidae","Ectopoglossus lacrimosus",0.045963953
"143","ANURA","Aromobatidae","Anomaloglossus leopardus",0.065049727
"144","ANURA","Aromobatidae","Anomaloglossus moffetti",0.052777206
"145","ANURA","Aromobatidae","Anomaloglossus murisipanensis",0.033300545
"146","ANURA","Aromobatidae","Anomaloglossus parimae",0.064882062
"147","ANURA","Aromobatidae","Anomaloglossus parkerae",0.056669472
"148","ANURA","Aromobatidae","Anomaloglossus praderioi",0.060012996
"149","ANURA","Aromobatidae","Anomaloglossus roraima",0.059164498
"150","ANURA","Aromobatidae","Anomaloglossus rufulus",0.064903007
